ds,Previsao_RandomForest,Previsao_ARIMA,Previsao_SARIMA
2021-01-01 00:00:00,482746.9485599995,503138.5087250054,486857.4623036677
2021-02-01 00:00:00,457749.1380299997,504245.65832303057,457628.95089052914
2021-03-01 00:00:00,499684.1856499998,504042.9994818953,498364.6503889237
2021-04-01 00:00:00,458493.2020999995,504080.09528716275,463665.6456807039
2021-05-01 00:00:00,465708.41000000044,504073.3050639446,473988.5847177702
2021-06-01 00:00:00,458113.6960500002,504074.5479842969,467537.31079291494
2021-07-01 00:00:00,474932.8482,504074.3204732192,489390.9962009394
2021-08-01 00:00:00,460077.5377500002,504074.3621181166,483513.41215291637
2021-09-01 00:00:00,471997.64480000036,504074.35449520213,479093.3315728371
2021-10-01 00:00:00,464429.8036999998,504074.3558905429,486153.233031602
2021-11-01 00:00:00,475667.86195000005,504074.35563513194,483569.1146059302
2021-12-01 00:00:00,502328.4409000003,504074.3556818838,515797.93598149694
2022-01-01 00:00:00,474124.93719999964,504074.3556733261,492257.3884140786
2022-02-01 00:00:00,453492.6559799998,504074.35567489255,465112.2016725365
2022-03-01 00:00:00,485055.69950000016,504074.3556746058,507119.649259472
2022-04-01 00:00:00,467496.2177499999,504074.3556746583,459171.4791967663
2022-05-01 00:00:00,460852.58419999987,504074.3556746487,473541.97453888814
2022-06-01 00:00:00,465680.0812999995,504074.35567465046,480487.2026290772
2022-07-01 00:00:00,457863.0856499999,504074.3556746501,498839.38752811693
2022-08-01 00:00:00,475787.34859999985,504074.35567465017,489699.1881431588
2022-09-01 00:00:00,453904.20955,504074.35567465017,488286.24442071473
2022-10-01 00:00:00,476387.9915499999,504074.35567465017,486937.4973156329
2022-11-01 00:00:00,459928.1384000001,504074.35567465017,490801.47541779536
2022-12-01 00:00:00,499926.1334000003,504074.35567465017,520933.89598488546
2023-01-01 00:00:00,463567.41706,504074.35567465017,497825.1239905801
2023-02-01 00:00:00,451591.47824999987,504074.35567465017,469937.14573652844
2023-03-01 00:00:00,469533.4898100001,504074.35567465017,511491.16263229493
2023-04-01 00:00:00,466494.99544999964,504074.35567465017,468266.8675302182
2023-05-01 00:00:00,468222.07754999964,504074.35567465017,481194.2417880368
2023-06-01 00:00:00,465878.0886999997,504074.35567465017,483363.06328728696
2023-07-01 00:00:00,469688.07004999975,504074.35567465017,502963.6778206342
2023-08-01 00:00:00,470769.0360999999,504074.35567465017,494986.7356330139
